dataset,mean_formula,var_formula,mean_nodes,var_nodes,mean_is_better,var_is_better,mean_EL2_stima,var_EL2_stima,mean_n**4,var_n**4,mean_real_EL2,var_real_EL2
qm9,25.736,35.668,18.032,8.665,0.076,0.07,164424.495,7038668755.936,122821.859,6145812283.495,,
enzymes,256.501,11834.757,32.633,233.349,0.018,0.018,12087358.667,158942469567248.38,3941999.723,336347643796569.7,997463.057,1151391165518.5
mutag,25.88,20.02,17.931,20.937,0.043,0.041,192951.957,24263995093.445,145416.644,17527122609.421,11182.457,96534795.131
ZINC,23.631,7.176,23.166,20.154,0.473,0.249,337443.969,45074154123.033,354366.46,71730718599.124,20020.39,185102792.267
nci1,24.602,20.218,29.865,183.97,0.591,0.242,1207251.889,6209411636003.235,2565938.412,73010996022552.77,79923.094,30775757252.232
